"termo","sugestao","relevancia","regiao","cliente","fonte","tipo"
"rio de janeiro","rio de janeiro clima","1150","br","chrome","web","top"
"rio de janeiro","rio de janeiro fica em qual região","601","br","chrome","web","top"
"rio de janeiro","rio de janeiro sem luz","600","br","chrome","web","top"
"rio de janeiro","rio de janeiro tempo","561","br","chrome","web","top"
"rio de janeiro","rio de janeiro temperatura","560","br","chrome","web","top"
"rio de janeiro","rio de janeiro é sudeste","559","br","chrome","web","top"
"rio de janeiro","rio de janeiro x sao paulo","558","br","chrome","web","top"
"rio de janeiro","rio de janeiro hoje","557","br","chrome","web","top"
"rio de janeiro","rio de janeiro fc","556","br","chrome","web","top"
"rio de janeiro","rio de janeiro sem luz hoje","555","br","chrome","web","top"
"rio de janeiro","rio de janeiro em setembro clima 2025","554","br","chrome","web","top"
"rio de janeiro","rio de janeiro em novembro clima","553","br","chrome","web","top"
"rio de janeiro","rio de janeiro mapa","552","br","chrome","web","top"
"rio de janeiro","rio de janeiro x vitoria","551","br","chrome","web","top"
"rio de janeiro","rio de janeiro x salvador","550","br","chrome","web","top"
"rio de janeiro","rio de janeiro a sao paulo","601","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro a aparecida do norte","600","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro apagao","562","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro agora","561","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro agora ao vivo","560","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro antigamente","559","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro altitude","558","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro ate curitiba","557","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro a belo horizonte","556","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro amanhã","555","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro a noite","554","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro aracaju","553","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro a juiz de fora","552","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro a porto seguro","551","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro ate minas gerais","550","br","chrome","web","expansao_a"
"rio de janeiro","rio de janeiro bandeira","1251","br","chrome","web","expansao_b"
"rio de janeiro","rio de janeiro brasilia","1250","br","chrome","web","expansao_b"
"rio de janeiro","rio de janeiro belo horizonte","1052","br","chrome","web","expansao_b"
"rio de janeiro","rio de janeiro brasileiro meu irmao","1051","br","chrome","web","expansao_b"
"rio de janeiro","rio de janeiro buenos aires","1050","br","chrome","web","expansao_b"
"rio de janeiro","rio de janeiro bairros","900","br","chrome","web","expansao_b"
"rio de janeiro","rio de janeiro brazil","650","br","chrome","web","expansao_b"
"rio de janeiro","rio de janeiro belem","602","br","chrome","web","expansao_b"
"rio de janeiro","rio de janeiro bahia","601","br","chrome","web","expansao_b"
"rio de janeiro","rio de janeiro belo horizonte onibus","600","br","chrome","web","expansao_b"
