"query","value"
"dua lipa rio de janeiro","50700"
"prainha rio de janeiro","28150"
"cearense morto no rio de janeiro","17700"
"farmasi arena rio de janeiro","11450"
"dua lipa rio de janeiro 2025","6600"
"resultado do jogo do bicho ao vivo do rio de janeiro","3100"
"buzios rio de janeiro","350"
"angra dos reis rio de janeiro","300"
"ponto turístico rio de janeiro","300"
"clima tempo","200"
"hotel nacional rio de janeiro","200"
"praias rio de janeiro","170"
"cabo frio","170"
"trindade rio de janeiro","170"
"petrópolis rio de janeiro","160"
"bondinho rio de janeiro","160"
"arraial do cabo rio de janeiro","150"
"resultado do jogo do bicho do rio de janeiro","150"
"rio de janeiro ipanema","150"
"búzios rio de janeiro","140"
