"data","valor"
"2004-01-01","0"
"2004-02-01","0"
"2004-03-01","0"
"2004-04-01","0"
"2004-05-01","0"
"2004-06-01","0"
"2004-07-01","0"
"2004-08-01","0"
"2004-09-01","0"
"2004-10-01","0"
"2004-11-01","0"
"2004-12-01","0"
"2005-01-01","0"
"2005-02-01","0"
"2005-03-01","0"
"2005-04-01","0"
"2005-05-01","0"
"2005-06-01","0"
"2005-07-01","0"
"2005-08-01","0"
"2005-09-01","0"
"2005-10-01","0"
"2005-11-01","0"
"2005-12-01","0"
"2006-01-01","0"
"2006-02-01","0"
"2006-03-01","0"
"2006-04-01","0"
"2006-05-01","0"
"2006-06-01","0"
"2006-07-01","0"
"2006-08-01","0"
"2006-09-01","0"
"2006-10-01","0"
"2006-11-01","0"
"2006-12-01","0"
"2007-01-01","0"
"2007-02-01","0"
"2007-03-01","0"
"2007-04-01","0"
"2007-05-01","0"
"2007-06-01","0"
"2007-07-01","0"
"2007-08-01","0"
"2007-09-01","72"
"2007-10-01","83"
"2007-11-01","77"
"2007-12-01","70"
"2008-01-01","71"
"2008-02-01","72"
"2008-03-01","77"
"2008-04-01","69"
"2008-05-01","69"
"2008-06-01","69"
"2008-07-01","62"
"2008-08-01","62"
"2008-09-01","68"
"2008-10-01","68"
"2008-11-01","64"
"2008-12-01","62"
"2009-01-01","62"
"2009-02-01","65"
"2009-03-01","68"
"2009-04-01","66"
"2009-05-01","68"
"2009-06-01","62"
"2009-07-01","58"
"2009-08-01","59"
"2009-09-01","68"
"2009-10-01","81"
"2009-11-01","68"
"2009-12-01","63"
"2010-01-01","69"
"2010-02-01","76"
"2010-03-01","66"
"2010-04-01","81"
"2010-05-01","60"
"2010-06-01","52"
"2010-07-01","53"
"2010-08-01","55"
"2010-09-01","59"
"2010-10-01","56"
"2010-11-01","88"
"2010-12-01","56"
"2011-01-01","98"
"2011-02-01","61"
"2011-03-01","63"
"2011-04-01","100"
"2011-05-01","54"
"2011-06-01","51"
"2011-07-01","50"
"2011-08-01","60"
"2011-09-01","63"
"2011-10-01","60"
"2011-11-01","63"
"2011-12-01","56"
"2012-01-01","70"
"2012-02-01","72"
"2012-03-01","67"
"2012-04-01","60"
"2012-05-01","56"
"2012-06-01","54"
"2012-07-01","56"
"2012-08-01","61"
"2012-09-01","62"
"2012-10-01","62"
"2012-11-01","58"
"2012-12-01","58"
"2013-01-01","63"
"2013-02-01","63"
"2013-03-01","59"
"2013-04-01","55"
"2013-05-01","52"
"2013-06-01","61"
"2013-07-01","54"
"2013-08-01","52"
"2013-09-01","52"
"2013-10-01","51"
"2013-11-01","54"
"2013-12-01","49"
"2014-01-01","54"
"2014-02-01","55"
"2014-03-01","52"
"2014-04-01","48"
"2014-05-01","49"
"2014-06-01","45"
"2014-07-01","43"
"2014-08-01","41"
"2014-09-01","46"
"2014-10-01","46"
"2014-11-01","47"
"2014-12-01","47"
"2015-01-01","50"
"2015-02-01","56"
"2015-03-01","58"
"2015-04-01","48"
"2015-05-01","44"
"2015-06-01","44"
"2015-07-01","45"
"2015-08-01","46"
"2015-09-01","47"
"2015-10-01","44"
"2015-11-01","44"
"2015-12-01","42"
"2016-01-01","47"
"2016-02-01","43"
"2016-03-01","39"
"2016-04-01","40"
"2016-05-01","50"
"2016-06-01","40"
"2016-07-01","40"
"2016-08-01","46"
"2016-09-01","40"
"2016-10-01","40"
"2016-11-01","40"
"2016-12-01","36"
"2017-01-01","41"
"2017-02-01","38"
"2017-03-01","36"
"2017-04-01","36"
"2017-05-01","33"
"2017-06-01","36"
"2017-07-01","33"
"2017-08-01","36"
"2017-09-01","42"
"2017-10-01","35"
"2017-11-01","36"
"2017-12-01","36"
"2018-01-01","40"
"2018-02-01","43"
"2018-03-01","37"
"2018-04-01","35"
"2018-05-01","33"
"2018-06-01","32"
"2018-07-01","35"
"2018-08-01","35"
"2018-09-01","46"
"2018-10-01","37"
"2018-11-01","36"
"2018-12-01","36"
"2019-01-01","39"
"2019-02-01","39"
"2019-03-01","38"
"2019-04-01","39"
"2019-05-01","36"
"2019-06-01","35"
"2019-07-01","34"
"2019-08-01","40"
"2019-09-01","40"
"2019-10-01","39"
"2019-11-01","39"
"2019-12-01","38"
"2020-01-01","42"
"2020-02-01","42"
"2020-03-01","36"
"2020-04-01","27"
"2020-05-01","29"
"2020-06-01","29"
"2020-07-01","30"
"2020-08-01","30"
"2020-09-01","33"
"2020-10-01","36"
"2020-11-01","35"
"2020-12-01","33"
"2021-01-01","36"
"2021-02-01","35"
"2021-03-01","37"
"2021-04-01","31"
"2021-05-01","34"
"2021-06-01","35"
"2021-07-01","35"
"2021-08-01","35"
"2021-09-01","35"
"2021-10-01","35"
"2021-11-01","36"
"2021-12-01","33"
"2022-01-01","34"
"2022-02-01","34"
"2022-03-01","35"
"2022-04-01","34"
"2022-05-01","30"
"2022-06-01","31"
"2022-07-01","32"
"2022-08-01","33"
"2022-09-01","32"
"2022-10-01","35"
"2022-11-01","30"
"2022-12-01","29"
"2023-01-01","38"
"2023-02-01","38"
"2023-03-01","35"
"2023-04-01","33"
"2023-05-01","32"
"2023-06-01","32"
"2023-07-01","33"
"2023-08-01","36"
"2023-09-01","36"
"2023-10-01","33"
"2023-11-01","35"
"2023-12-01","31"
"2024-01-01","34"
"2024-02-01","32"
"2024-03-01","38"
"2024-04-01","32"
"2024-05-01","35"
"2024-06-01","34"
"2024-07-01","34"
"2024-08-01","34"
"2024-09-01","32"
"2024-10-01","26"
"2024-11-01","0"
"2024-12-01","35"
"2025-01-01","36"
"2025-02-01","28"
