"query","value"
"rio de janeiro mapa","100"
"rio de janeiro praia","98"
"brasil rio de janeiro","96"
"rio de janeiro cidade","76"
"hotel rio de janeiro","58"
"mapa do rio de janeiro","53"
"tempo rio de janeiro","50"
"estado do rio de janeiro","46"
"são paulo","45"
"bandeira rio de janeiro","43"
"rio de janeiro favela","40"
"copacabana","37"
"copacabana rio de janeiro","37"
"praia do rio de janeiro","34"
"clima rio de janeiro","33"
"operação rio de janeiro","30"
"rio de janeiro cristo redentor","30"
"rio de janeiro desenho","30"
"bandeira do rio de janeiro","26"
"previsão do tempo rio de janeiro","25"
