rank,titulo,autores,autores_lista,ano,link,resumo,citacoes,referencias,venue,fields_of_study,publication_types,publication_date,journal,paper_id,external_ids,is_open_access,open_access_pdf,termo,tentativa
1,Hector V3.2.0: functionality and performance of a reduced-complexity climate model,"Kalyn Dorheim, S. Gering, R. Gieseke, C. Hartin, Leeya Pressburger, A. Shiklomanov, Steven J. Smith, Claudia Tebaldi, D. Woodard, Ben Bond‐Lamberty","['Kalyn Dorheim', 'S. Gering', 'R. Gieseke', 'C. Hartin', 'Leeya Pressburger', 'A. Shiklomanov', 'Steven J. Smith', 'Claudia Tebaldi', 'D. Woodard', 'Ben Bond‐Lamberty']",2024,https://www.semanticscholar.org/paper/ab436c0eb525cac6eef2fbfae55c64b0ec257a9e,"Abstract. Hector is an open-source reduced-complexity climate–carbon cycle model that models critical Earth system processes on a global and annual basis. Here, we present an updated version of the model, Hector V3.2.0 (hereafter Hector V3), and document its new features, implementation of new science, and performance. Significant new features include permafrost thaw, a reworked energy balance submodel, and updated parameterizations throughout. Hector V3 results are in good general agreement with historical observations of atmospheric CO2 concentrations and global mean surface temperature, and the future temperature projections from Hector V3 are consistent with more complex Earth system model output data from the sixth phase of the Coupled Model Intercomparison Project. We show that Hector V3 is a flexible, performant, robust, and fully open-source simulator of global climate changes. We also note its limitations and discuss future areas for improvement and research with respect to the model's scientific, stakeholder, and educational priorities.
",8,54,Geoscientific Model Development,None,JournalArticle,2024-06-20,Geoscientific Model Development,ab436c0eb525cac6eef2fbfae55c64b0ec257a9e,"{""DOI"": ""10.5194/gmd-17-4855-2024"", ""CorpusId"": 270643161}",True,https://doi.org/10.5194/gmd-17-4855-2024,hector,1
2,Dynamic Loco-manipulation on HECTOR: Humanoid for Enhanced ConTrol and Open-source Research,"Junheng Li, Junchao Ma, Omar Kolt, Manas Shah, Quan Nguyen","['Junheng Li', 'Junchao Ma', 'Omar Kolt', 'Manas Shah', 'Quan Nguyen']",2023,https://www.semanticscholar.org/paper/f1d9db5815c04352e0c03eb4b2c1de43bd2560eb,"Despite their remarkable advancement in locomotion and manipulation, humanoid robots remain challenged by a lack of synchronized loco-manipulation control, hindering their full dynamic potential. In this work, we introduce a versatile and effective approach to controlling and generalizing dynamic locomotion and loco-manipulation on humanoid robots via a Force-and-moment-based Model Predictive Control (MPC). Specifically, we proposed a simplified rigid body dynamics (SRBD) model to take into account both humanoid and object dynamics for humanoid loco-manipulation. This linear dynamics model allows us to directly solve for ground reaction forces and moments via an MPC problem to achieve highly dynamic real-time control. Our proposed framework is highly versatile and generalizable. We introduce HECTOR (Humanoid for Enhanced ConTrol and Open-source Research) platform to demonstrate its effectiveness in hardware experiments. With the proposed framework, HECTOR can maintain exceptional balance during double-leg stance mode, even when subjected to external force disturbances to the body or foot location. In addition, it can execute 3-D dynamic walking on a variety of uneven terrains, including wet grassy surfaces, slopes, randomly placed wood slats, and stacked wood slats up to 6 cm high with the speed of 0.6 m/s. In addition, we have demonstrated dynamic humanoid loco-manipulation over uneven terrain, carrying 2.5 kg load. HECTOR simulations, along with the proposed control framework, are made available as an open-source project. (https://github.com/DRCL-USC/Hector_Simulation).",24,56,arXiv.org,"Computer Science, Engineering",JournalArticle,2023-12-19,ArXiv,f1d9db5815c04352e0c03eb4b2c1de43bd2560eb,"{""DBLP"": ""journals/corr/abs-2312-11868"", ""ArXiv"": ""2312.11868"", ""DOI"": ""10.48550/arXiv.2312.11868"", ""CorpusId"": 266362241}",False,,hector,1
3,An Autonomous Navigation Strategy Based on Improved Hector SLAM With Dynamic Weighted A* Algorithm,"Zhang Yong, Renjie Li, Fenghong Wang, Weiting Zhao, Chen Qi, Zhi Derui, Xinxin Chen, Shuhao Jiang","['Zhang Yong', 'Renjie Li', 'Fenghong Wang', 'Weiting Zhao', 'Chen Qi', 'Zhi Derui', 'Xinxin Chen', 'Shuhao Jiang']",2023,https://www.semanticscholar.org/paper/87891599372aa9325be4ce5ae95c0d3db6bb5243,"Aiming at improving the mapping accuracy and autonomous navigation efficiency of rescue robot in unknown environment, an improved Hector SLAM based autonomous navigation strategy is proposed, which is implemented on the Levenberg-Marquardt optimization and Bezier smooth dynamic weighted <inline-formula> <tex-math notation=""LaTeX"">$\text{A}^{\ast} $ </tex-math></inline-formula> algorithm. Firstly, the scan match process of Hector SLAM is performed by an improved Levenberg-Marquart (LM) method to solve the problems of non-convergence of functions and inaccurate local approximation caused by the non-singularity for solving the Hessian matrix. Secondly, the Bezier smooth dynamic weighted <inline-formula> <tex-math notation=""LaTeX"">$\text{A}^{\ast} $ </tex-math></inline-formula> algorithm is utilized to perform autonomous navigation based on the SLAM map. In which, the navigation target points selection is employed by the frontier exploration strategy in order to solve the search efficiency as for the increasing number of nodes in the <inline-formula> <tex-math notation=""LaTeX"">$\text{A}^{\ast} $ </tex-math></inline-formula> algorithm, and the accuracy of SLAM mapping declines owing to the large angle amplitude. Finally, the experiments are carried out in ROS, the results show that there is a better performance for proposed method to implement the high mapping accuracy and efficient autonomous navigation.",11,50,IEEE Access,Computer Science,JournalArticle,,IEEE Access,87891599372aa9325be4ce5ae95c0d3db6bb5243,"{""DBLP"": ""journals/access/YongRWWQZCJ23"", ""DOI"": ""10.1109/ACCESS.2023.3299293"", ""CorpusId"": 260256862}",True,https://ieeexplore.ieee.org/ielx7/6287639/10005208/10195970.pdf,hector,1
4,Mutual benefits for research and practice: Randomized controlled trials in the Hector Children's Academy Program,"Ulrich Trautwein, Jessika Golle, Ann‐Kathrin Jaggy, Marcus Hasselhorn, B. Nagengast","['Ulrich Trautwein', 'Jessika Golle', 'Ann‐Kathrin Jaggy', 'Marcus Hasselhorn', 'B. Nagengast']",2023,https://www.semanticscholar.org/paper/525c86405ad43d67c3defc09d0ccea1f8a15a766,"This article describes how a series of randomized controlled trials (RCTs) were implemented in the Hector Children's Academy Talent Development Program with the goal of generating mutual benefits for research and practice. The Hector Children's Academy Program, founded in 2010 and located in one of the largest states in Germany, Baden‐Württemberg, is a statewide enrichment program for talented primary school students, with a focus on STEMM topics. The program is financed by a private foundation, supervised by the Ministry of Education, and offered by 69 local sites that are hosted by local schools. About 15,000 primary school students (Grades 1–4) attend enrichment courses (more than 23,000 course participations) offered by the Hector Children's Academy Program every year. A unique element of the Hector Children's Academy Program is the role of empirical research in course development. The Hector Core Courses—offered by all local sites—undergo a strict quality assurance process in which RCTs are used to test their effectiveness with regard to central outcomes. After describing the Hector Children's Academy Program, we explain how the Hector Core Courses were developed and incorporated into the program, summarize key findings from the RCTs, and discuss mutual benefits for research and practice.",8,45,Annals of the New York Academy of Sciences,Medicine,JournalArticle,2023-11-02,Annals of the New York Academy of Sciences,525c86405ad43d67c3defc09d0ccea1f8a15a766,"{""DOI"": ""10.1111/nyas.15074"", ""CorpusId"": 264932729, ""PubMed"": ""37916794""}",True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nyas.15074,hector,1
5,Hector: An Efficient Programming and Compilation Framework for Implementing Relational Graph Neural Networks in GPU Architectures,"Kun Wu, Mert Hidayetoğlu, Xiang Song, Sitao Huang, Da Zheng, Israt Nisa, Wen-mei W. Hwu","['Kun Wu', 'Mert Hidayetoğlu', 'Xiang Song', 'Sitao Huang', 'Da Zheng', 'Israt Nisa', 'Wen-mei W. Hwu']",2023,https://www.semanticscholar.org/paper/5a1db85197ca5a608fea362c7d572fafb7193a7e,"Relational graph neural networks (RGNNs) are graph neural networks with dedicated structures for modeling the different types of nodes and edges in heterogeneous graphs. While RGNNs have been increasingly adopted in many real-world applications due to their versatility and accuracy, they pose performance and system design challenges: inherent memory-intensive computation patterns, the gap between the programming interface and kernel APIs, and heavy programming effort required to optimize kernels caused by their coupling with data layout and heterogeneity. To systematically address these challenges, we propose Hector, a novel two-level intermediate representation and its code generator framework that (a) captures the key properties of RGNN models, and opportunities to reduce memory accesses in inter-operator scheduling and materialization, (b) generates code with flexible data access schemes to eliminate redundant data copies, and (c) decouples model semantics, data layout, and operators-specific optimizations from each other to reduce programming effort. By building on one general matrix multiply (GEMM) template and a node/edge traversal template, Hector achieves up to 9.9× speed-up in inference and 43.7× speed-up in training compared with the state-of-the-art public systems on select models, RGCN, RGAT and HGT, when running heterogeneous graphs provided by Deep Graph Library (DGL) and Open Graph Benchmark (OGB). In addition, Hector does not trigger any out-of-memory (OOM) exception in these tests. We also propose linear operator reordering and compact materialization to further accelerate the system by up to 3.8×. As an indicator of the reduction of programming effort, Hector takes in 51 lines of code expressing the three models and generates a total of 8K lines of CUDA and C++ code. Through profiling, we found that higher memory efficiency allows Hector to accommodate larger input and therefore attain higher throughput in forward propagation, while backward propagation is bound by latency introduced by atomic updates and outer products.",6,43,International Conference on Architectural Support for Programming Languages and Operating Systems,Computer Science,"JournalArticle, Book, Conference",2023-01-16,"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 3",5a1db85197ca5a608fea362c7d572fafb7193a7e,"{""DBLP"": ""conf/asplos/WuH0HZNH24"", ""ArXiv"": ""2301.06284"", ""DOI"": ""10.1145/3620666.3651322"", ""CorpusId"": 255941740}",False,,hector,1
6,Focal ratio degradation in optical fibres for the Hector integral field units,"A. Wang, Rebecca Brown, J. Bryant, S. Leon-Saval","['A. Wang', 'Rebecca Brown', 'J. Bryant', 'S. Leon-Saval']",2023,https://www.semanticscholar.org/paper/2de89e8881a7ff91ab2418a3035da2dfa4e11bb4,"
 Focal Ratio Degradation (FRD) in optical fibres can result in light loss. In astronomical instrumentation, FRD must be controlled because light levels are low. A new Integral Field Spectrograph (IFS) instrument called Hector, was recently completed and was installed on the Anglo-Australian Telescope (AAT) in Australia in December 2021. The integral field units (IFUs) for Hector made with hexagonally packed multi-mode fibres are called hexabundles. In this paper, we introduce a cone-beam measurement method to measure FRD at optical wavelengths. We present the FRD and throughput performance of the hexabundles for Hector and show that the process for making hexabundles introduced no additional significant FRD beyond that of the bare fibre.",4,0,Monthly notices of the Royal Astronomical Society,None,JournalArticle,2023-04-28,Monthly Notices of the Royal Astronomical Society,2de89e8881a7ff91ab2418a3035da2dfa4e11bb4,"{""DOI"": ""10.1093/mnras/stad1273"", ""CorpusId"": 258423062}",True,https://doi.org/10.1093/mnras/stad1273,hector,1
7,HECTOR: A Multi-level Intermediate Representation for Hardware Synthesis Methodologies,"Ruifan Xu, You-lin Xiao, Jin Luo, Yun Liang","['Ruifan Xu', 'You-lin Xiao', 'Jin Luo', 'Yun Liang']",2022,https://www.semanticscholar.org/paper/73e3c04021f84cd0636bfdc1b3f093c4297a371c,"Hardware synthesis requires a complicated process to generate synthesizable register transfer level (RTL) code. High-level synthesis tools can automatically transform a high-level description into hardware design, while hardware generators adopt domain specific languages and synthesis flows for specific applications. The implementation of these tools generally requires substantial engineering efforts due to RTL’s weak expressivity and low level of abstraction. Furthermore, different synthesis tools adopt different levels of intermediate representations (IR) and transformations. A unified IR obviously is a good way to lower the engineering cost and get competitive hardware design rapidly by exploring different synthesis methodologies.In this paper, we propose Hector, a two-level IR providing a unified intermediate representation for hardware synthesis methodologies. The high-level IR binds computation with a control graph annotated with timing information, while the low-level IR provides a concise way to describe hardware modules and elastic interconnections among them. Implemented based on the multi-level compiler infrastructure (MLIR), Hector’s IRs can be converted to synthesizable RTL designs. To demonstrate the expressivity and versatility, we implement three synthesis approaches based on Hector: a high-level synthesis (HLS) tool, a systolic array generator, and a hardware accelerator. The hardware generated by Hector’s HLS approach is comparable to that generated by the state-of-the-art HLS tools, and the other two cases outperform HLS implementations in performance and productivity.",21,42,2022 IEEE/ACM International Conference On Computer Aided Design (ICCAD),Computer Science,"Book, JournalArticle, Conference",2022-10-29,2022 IEEE/ACM International Conference On Computer Aided Design (ICCAD),73e3c04021f84cd0636bfdc1b3f093c4297a371c,"{""DBLP"": ""conf/iccad/XuXLL22"", ""DOI"": ""10.1145/3508352.3549370"", ""CorpusId"": 254927667}",False,,hector,1
8,A long‐term shift in the summer distribution of Hector’s dolphins is correlated with an increase in cruise ship tourism,"William Carome, E. Slooten, W. Rayment, T. Webster, Lindsay Wickman, T. Brough, S. Dawson","['William Carome', 'E. Slooten', 'W. Rayment', 'T. Webster', 'Lindsay Wickman', 'T. Brough', 'S. Dawson']",2022,https://www.semanticscholar.org/paper/addc10d44d6a16eb6dfc9e368642b701e3eabefa,"1. Before the 2020 COVID-19 pandemic, cruise ship tourism had been one of the fastest growing segments of global tourism, presenting a range of potential impacts. At Akaroa Harbour, Aotearoa New Zealand, the number of annual cruise ship visits more than quadrupled following earthquake damage to Otautahi Christchurch's Lyttelton Port in 2011. Akaroa Harbour is an area of core use for endangered and endemic Hector's dolphins (Cephalorhynchus hectori). Dolphins here are exposed to some of the highest levels of cetacean tourism in Aotearoa New Zealand. 2. Relationships were examined between growth in cruise ship visits, as well as tours focused specifically on dolphins, and long-term trends in summer distribution of Hector's dolphins at Akaroa Harbour, from 2000 to 2020. Core use areas for Hector's dolphins within the harbour were quantified via kernel density estimation using data from 2,335 sightings from over 8,000 km of standardized survey effort. Data were allocated into four periods based on varying levels of tourism. 3. Dolphin habitat preference varied over time, with the greatest change occurring between 2005-2011 and 2012-2015. When comparing these periods, the spatial overlap of core habitat was less than 24%. Dolphin distribution shifted towards the outer harbour after 2011 and has remained relatively consistent since. 4. The observed shift in distribution coincided with the more than fourfold increase in annual cruise ship visits to Akaroa Harbour. Several pressures related to cruise ship tourism are likely to have influenced habitat preferences of dolphins. Further investigation into causal factors of the observed shift is warranted. 5. In the wake of the COVID-19 pandemic, the future of cruise ship and wildlife tourism is in flux. Our findings suggest that the future re-development of this industry should follow a precautionary approach, with the onus on industry to provide evidence of sustainability before proceeding.",15,120,Aquatic conservation,Medicine,Review,2022-09-11,Aquatic Conservation: Marine and Freshwater Ecosystems,addc10d44d6a16eb6dfc9e368642b701e3eabefa,"{""DOI"": ""10.1002/aqc.3881"", ""CorpusId"": 252256926}",False,,hector,1
9,Improved Hector-SLAM Algorithm Based on Data Fusion of LiDAR and IMU for a Wheeled Robot Working in Machining Workshop,"Xing Wei, Changchun Yang, Lingcheng Kong, Peng Sun","['Xing Wei', 'Changchun Yang', 'Lingcheng Kong', 'Peng Sun']",2022,https://www.semanticscholar.org/paper/5c9642f045e15959f19910fa83fa9c6e418d87dc,"Simultaneous localization and mapping (SLAM) is the key technology to achieve efficient operation of mobile robots, especially in complex production workshops, logistics warehouses and other typical intelligent manufacturing scenarios, robots must first rely on accurate prior map information to achieve autonomous movement, so that intelligent processing, assembly, human-machine collaborative operation and other tasks can be performed. However, maps are often built depending on expensive LiDAR, which greatly increases costs and makes it difficult to popularize. Therefore, this paper deploys a wheeled robot turtlebot2 equipped with low-cost single-line LiDAR hokuyo (UTM-30LX) to build two-dimensional grid maps in the machining workshop. According to the characteristics of the robot and the scene, three laser SLAM algorithms are configured based on ROS (kinetic) under ubuntu 16.04 LTS system, including GMapping-SLAM, Hector-SLAM and Cartographer-SLAM. Compared with other two algorithms, Hector-SLAM algorithm has better performance in terms of the completeness of the map restoration scene. However, there are drift and overlap problems in the local map. To solve these problems, a map building method, improved Hector-SLAM algorithm, is proposed which first eliminates the invalid laser data and then uses inertial measurement unit (IMU) to compensate. Comparative experiments show that the method effectively improves the accuracy of the map and improves the work efficiency of the robot.",5,14,ACM Cloud and Autonomic Computing Conference,None,None,2022-11-25,2022 China Automation Congress (CAC),5c9642f045e15959f19910fa83fa9c6e418d87dc,"{""DOI"": ""10.1109/CAC57257.2022.10055160"", ""CorpusId"": 257518502}",False,,hector,1
10,From Hector Mine M7.1 to Ridgecrest M7.1 Earthquake. A Look from a 20-Year Perspective,"S. Pulinets, M. Tsidilina, Dimitar Ouzounov, D. Davidenko","['S. Pulinets', 'M. Tsidilina', 'Dimitar Ouzounov', 'D. Davidenko']",2021,https://www.semanticscholar.org/paper/42661c5a2dbeeeee3273f08e19721c5d4f68da80,"The paper provides a comparative analysis of precursory phenomena in the ionosphere and atmosphere for two strong earthquakes of the same magnitude M7.1 that happened in the same region (North-East from Los Angeles) within a time span of 20 years, the Hector Mine and Ridgecrest earthquakes. Regardless of the similarity of their location (South-Eastern California, near 160 km one from another), there was one essential difference: the Hector Mine earthquake happened during geomagnetically disturbed conditions (essential in the sense of ionospheric precursors identification). In contrast, the quiet geomagnetic conditions characterized the period around the time of the Ridgecrest earthquake. The Hector mine earthquake happened in the middle of the rising phase of the 23-rd solar cycle characterized by high solar activity, while the Ridgecrest earthquake happened by the very end of the 24th cycle under very low solar activity conditions. We provide a comprehensive multi-factor analysis, determine the precursory period for both earthquakes and demonstrate the close similarity of ionospheric precursors. Unlike the majority of papers dealing with earthquake precursor identification based on the “abnormality” of observed time-series mainly determined by amplitude difference between “normal” (usually climatic) behavior and “abnormal” behavior with amplitudes exceeding some pre-established threshold, we used the technique of cognitive recognition of the precursors based on the physical mechanisms of their generation and the morphology of their behavior during the precursory period. These permits to uniquely identify precursors even in conditions of disturbed environment as it was around the time of the Hector Mine earthquake. We demonstrate the close similarity of precursors’ development for both events. The leading time of precursor appearance for the same region and similar magnitude was identical. For the Hector Mine it was 11 October 1999—5 days in advance—and for 2019 Ridgecrest it was 28 June—7 days before the mainshock and five days before the strongest foreshock.",13,41,Atmosphere,Geology,None,2021-02-17,Atmosphere,42661c5a2dbeeeee3273f08e19721c5d4f68da80,"{""MAG"": ""3130329920"", ""DOI"": ""10.3390/ATMOS12020262"", ""CorpusId"": 233891176}",True,https://www.mdpi.com/2073-4433/12/2/262/pdf?version=1614258133,hector,1
