rank,title,link,object_id,score,comments,author,created,created_at_i,story_text,comment_text,num_points,story_id,story_title,story_url,parent_id,relevancy_score,termo
1,Asahi Linux lead developer Hector Martin resigns from Linux kernel,https://lkml.org/lkml/2025/2/7/9,42972062,918,1021,Mond_,2025-02-07T13:02:03Z,1738933323,,,918,42972062,,,,0,hector
2,Hector Martin: we care about fixing Linux problems on Asahi,,35026736,146,57,sohkamyung,2023-03-05T03:43:01Z,1677987781,,,146,35026736,,,,0,hector
3,"Héctor Garcia-Molina, 1953–2019",https://rjlipton.wordpress.com/2019/12/08/hctor-garcia-molina-1953-2019/,21739290,121,16,furcyd,2019-12-08T23:44:13Z,1575848653,,,121,21739290,,,,0,hector
4,"Hector Garcia-Molina, influential database expert, dies at 65 (2019)",https://news.stanford.edu/2019/12/06/hector-garcia-molina-influential-computer-scientist-database-expert-dies-65/,21996625,59,3,jamesblonde,2020-01-08T22:50:39Z,1578523839,,,59,21996625,,,,0,hector
5,HN bans Hector Martin’s home IP address,,37739067,39,24,glyph,2023-10-02T15:04:03Z,1696259043,,,39,37739067,,,,0,hector
6,"Hector Martin: ""Behold, a maintainer sabotaging the Rust for Linux project""",https://lwn.net/ml/all/20250131075751.GA16720@lst.de/,42926732,39,22,mustache_kimono,2025-02-04T02:13:28Z,1738635208,,,39,42926732,,,,0,hector
7,Potential Apple M1 Flaw Discovered by Hector Martin,https://twitter.com/marcan42/status/1364603530271625216,26262118,35,14,Kipters,2021-02-25T12:29:37Z,1614256177,,,35,26262118,,,,0,hector
8,"Exit Hector, again and again: How different translators reveal the ‘Iliad’ anew",https://www.nytimes.com/2023/06/28/books/review/iliad-translations.html,36623237,22,52,diodorus,2023-07-06T21:20:46Z,1688678446,,,22,36623237,,,,0,hector
9,The Blacklisting of Hector ‘Sabu’ Monsegur,http://kernelmag.dailydot.com/issue-sections/headline-story/13945/sabu-hector-monsegur-interview/,10032206,21,4,jonbaer,2015-08-10T01:12:57Z,1439169177,,,21,10032206,,,,0,hector
10,Asahi Linux Lead Developer Hector Martin Steps Down,https://www.phoronix.com/news/Asahi-Linux-Lead-No-Upstream,42972431,15,1,doener,2025-02-07T13:45:14Z,1738935914,,,15,42972431,,,,0,hector
11,Hector (Cloud),https://en.wikipedia.org/wiki/Hector_(cloud),45554528,15,0,bookofjoe,2025-10-12T02:08:44Z,1760234924,,,15,45554528,,,,0,hector
12,Hector Martin – [Patch] Maintainers: Remove Myself,https://lkml.org/lkml/2025/2/7/9,42966554,12,52,Reventlov,2025-02-06T21:12:42Z,1738876362,,,12,42966554,,,,0,hector
13,"Hector Ruiz out at AMD, Dirk Meyer new CEO ",http://news.cnet.com/8301-1001_3-9993621-92.html,249269,7,3,nickb,2008-07-17T23:56:13Z,1216338973,,,7,249269,,,,0,hector
14,"Search only robots.txt files on the WWW using Cassandra, Solandra and Hector",http://zminer.com/content/robotstxt-crawler-search/,2384041,7,0,whackberry,2011-03-29T19:34:39Z,1301427279,,,7,2384041,,,,0,hector
15,Héctor García-Molina Has Died,https://news.ycombinator.com/item?id=21642048,21642048,6,1,drallison,2019-11-26T19:58:16Z,1574798296,"Héctor García-Molina has died. Héctor was a Mexican-American computer scientist and Professor in the Departments of Computer Science and Electrical Engineering at Stanford University.<p>See https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;H %C3%A9ctor_Garc%C3%ADa-Molina for a brief biography.<p>Héctor was a smart, friendly, almost courtly man.  May he rest in peace.",,6,21642048,,,,0,hector
16,Hector the Convector (Cloud),https://en.wikipedia.org/wiki/Hector_(cloud),30720962,6,0,jasonhansel,2022-03-18T11:49:22Z,1647604162,,,6,30720962,,,,0,hector
17,Héctor García-Molina has passed away,https://en.wikipedia.org/wiki/H%C3%A9ctor_Garc%C3%ADa-Molina,21641047,5,6,aloukissas,2019-11-26T18:19:40Z,1574792380,,,5,21641047,,,,0,hector
18,Ubuntu Asahi Talk with Hector Martin and Tobias Heider at Ubuntu Summit,https://www.youtube.com/watch?v=XIGxKyekvBQ,38152532,5,1,jasoneckert,2023-11-05T16:24:18Z,1699201458,,,5,38152532,,,,0,hector
19,Hector Martin on the state of Linux Kernel development,,37967460,5,1,rapnie,2023-10-21T15:11:57Z,1697901117,,,5,37967460,,,,0,hector
20,Hector Martin Announces Patreon Funding for Bringing Native Linux to M1 Macs,https://9to5mac.com/2020/11/30/developer-hector-martin-announces-patreon-funding-for-bringing-native-linux-to-m1-macs/,25264692,5,1,dreamcompiler,2020-12-01T12:54:43Z,1606827283,,,5,25264692,,,,0,hector
