engine,rank,title,link,snippet,age,language,meta_url,meta_desc,family_friendly,regiao,termo,tentativa
brave,1,Calendário de Dezembro de 2026: feriados e datas comemorativas - Calendarr,https://www.calendarr.com/brasil/calendario-dezembro-2026/,"Calendário Dezembro 2026 com todas as Datas Comemorativas, Feriados Nacionais e Pontos Facultativos do Brasil.",,pt,www.calendarr.com,,True,br,natal 2026,1
brave,2,Calendário dezembro 2026,https://www.calendario-365.com.br/calend%C3%A1rio/2026/dezembro.html,Calendário <strong>dezembro 2026</strong>. Veja aqui o calendário mensal de Calendário <strong>dezembro 2026</strong> inclusivamente os números das semanas. E veja por dia quando o Sol nasce e quando se põe em Calendário <strong>dezembro 2026</strong>.,,pt,www.calendario-365.com.br,,True,br,natal 2026,1
brave,3,Dezembro de 2026 - Datas Comemorativas,https://www.datascomemorativas.me/2026/dezembro,"Descubra todos feriados nacionais e datas comemorativas do mês de Dezembro de 2026, um calendário completo com datas culturais, cívicas, profissionais, históricas e curiosas.",,pt,www.datascomemorativas.me,,True,br,natal 2026,1
brave,4,A cor errada na decoração de Natal pode sabotar seu 2026 - NSC Total,https://www.nsctotal.com.br/noticias/a-cor-errada-na-decoracao-de-natal-pode-sabotar-seu-2026,"No topo da árvore, a estrela simboliza direção, propósito e iluminação do caminho para 2026. As luzes representam o movimento do Chi, a energia vital, evocando presença, confiança e atenção diante do novo ciclo.",11 hours ago,pt,www.nsctotal.com.br,,True,br,natal 2026,1
brave,5,Calendário 2026 com feriados municipais fases da lua e datas comemorativas - Natal-RN,https://www.webcid.com.br/calendario/2026/rio-grande-do-norte/natal,Calendário 2026 com feriados municipais e datas comemorativas fases da lua - Natal-RN,,pt,www.webcid.com.br,,True,br,natal 2026,1
brave,6,"Natal 2025, Natal 2026 e mais",https://www.calendario-365.com.br/feriados/natal.html,"Natal 2025, Natal 2026 e mais. Veja aqui as datas dos feriados da Brasil de 2025, inclusivamente das Natal 2025, Natal 2026 e mais e de outros dias festivos da Brasil.",1 week ago,pt,www.calendario-365.com.br,,True,br,natal 2026,1
brave,7,Natal 2026 – CALENDÀRIO,https://calendario2019brasil.com.br/feriados-2026/natal/,"O Natal em 2026 <strong>vai cair numa sexta-feira</strong>. Trata-se da principal data da tradição católica, na qual se celebra o nascimento do menino Jesus. A comemoração no 25 de dezembro foi instituída no século III D.C.","September 12, 2025",pt,calendario2019brasil.com.br,,True,br,natal 2026,1
brave,8,"Natal 2025, 2026 e 2027 - Data e origem",https://icalendario.br.com/festa-crista/natal,"Verifique a origem, a história e a data do Natal, festa cristã, em 2025, 2026 e 2027 no Brasil",,pt,icalendario.br.com,,True,br,natal 2026,1
brave,9,Natal 2026. Quando é a Natal em 2026 em Brasil | Calendar Center,https://calendar.center/br/8/2026/natal/,Ano Novo / Confraternizaçao Universal Festa do Batismo do Senhor Apresentação de Jesus no Templo Quarta-feira Santa Domingo de Ramos Quinta-Feira Santa Sexta-feira Santa Sábado de Aleluia Páscoa Segunda-feira de Páscoa Dia de Tiradentes Dia do Trabalhador (Dia do Trabalho) Dia das Mães Festa da Ascensão Pentecostes Corpus Christi Sagrado Coração de Jesus Dia Do Pai Dia da Independencia Nossa Senhora Aparecida Dia do Servidor Público Dia de Finados Proclamaçao da República Festa de Cristo Rei Advento Natal,,pt,calendar.center,,True,br,natal 2026,1
brave,10,Natal 2026,https://numerodasemana.com/2026/natal,"segunda-feira, 21 de dezembro – <strong>domingo, 27 de dezembro de 2026</strong>",,pt,numerodasemana.com,,True,br,natal 2026,1
