engine,rank,title,link,snippet,displayLink,formattedUrl,htmlTitle,htmlSnippet,htmlFormattedUrl,kind,cacheId,metatags_title,metatags_description,metatags_image,regiao,idioma,termo,tentativa
google,1,Combo Natal 2026,https://www.circuitodasestacoes.com.br/combo-natal-2026/,"Em 2026, o maior circuito de corridas de rua do mundo chega aos 20 anos celebrando histórias como a sua. No Circuito das Estações, cada etapa é um novo capítulo ...",www.circuitodasestacoes.com.br,https://www.circuitodasestacoes.com.br/combo-natal-2026/,Combo <b>Natal 2026</b>,"Em <b>2026</b>, o maior circuito de corridas de rua do mundo chega aos 20 anos celebrando histórias como a sua. No Circuito das Estações, cada etapa é um novo capítulo&nbsp;...",https://www.circuitodasestacoes.com.br/combo-<b>natal</b>-<b>2026</b>/,customsearch#result,,,,,br,pt,natal 2026,1
google,2,PPA - PLANO PLURIANUAL 2026-2029,https://prafrente.natal.rn.gov.br/,"Plano Plurianual Participativo da Cidade do Natal (2026-2029). APRESENTAÇÃO. A Prefeitura Municipal do Natal iniciou, em janeiro de 2025, as tratativas para a ...",prafrente.natal.rn.gov.br,https://prafrente.natal.rn.gov.br/,PPA - PLANO PLURIANUAL <b>2026</b>-2029,"Plano Plurianual Participativo da Cidade do <b>Natal</b> (<b>2026</b>-2029). APRESENTAÇÃO. A Prefeitura Municipal do Natal iniciou, em janeiro de 2025, as tratativas para a&nbsp;...",https://prafrente.<b>natal</b>.rn.gov.br/,customsearch#result,,PPA - PLANO PLURIANUAL 2026-2029,PPA - PLANO PLURIANUAL 2026-2029,,br,pt,natal 2026,1
google,3,natal.rn.gov.br - Tributação - Notícias - Utilização do boleto do carnê ...,https://www.natal.rn.gov.br/semut/noticia.php?id=6826,"CARNÊS 2026. Utilização do boleto do carnê do IPTU com vencimento em 26/12/2017, DE VALOR ABAIXO DE R$ 2.000,00 para pagamento até 05/01/2018. Conforme ...",www.natal.rn.gov.br,https://www.natal.rn.gov.br/semut/noticia.php?id=6826,<b>natal</b>.rn.gov.br - Tributação - Notícias - Utilização do boleto do carnê ...,"CARNÊS <b>2026</b>. Utilização do boleto do carnê do IPTU com vencimento em 26/12/2017, DE VALOR ABAIXO DE R$ 2.000,00 para pagamento até 05/01/2018. Conforme&nbsp;...",https://www.<b>natal</b>.rn.gov.br/semut/noticia.php?id=6826,customsearch#result,,Prefeitura Municipal do Natal,Prefeitura Municipal do Natal,https://www.natal.rn.gov.br/img/logo_face.png,br,pt,natal 2026,1
google,4,carnês 2026,https://natal.rn.gov.br/semut/noticia.php?id=32117,Portal da Prefeitura Municipal do Natal - SEFIN - Secretaria Municipal de Finanças.,natal.rn.gov.br,https://natal.rn.gov.br/semut/noticia.php?id=32117,carnês <b>2026</b>,Portal da Prefeitura Municipal do <b>Natal</b> - SEFIN - Secretaria Municipal de Finanças.,https://<b>natal</b>.rn.gov.br/semut/noticia.php?id=32117,customsearch#result,,Prefeitura Municipal do Natal,Prefeitura Municipal do Natal,https://www.natal.rn.gov.br/img/logo_face.png,br,pt,natal 2026,1
google,5,natal.rn.gov.br - Tributação,https://www.natal.rn.gov.br/semut/noticia.php?id=58774,CARNÊS 2026. Secretaria Municipal de Tributação de Natal lança serviço exclusivo de consulta e pagamentos on line de débitos de IPTU dentro da plataforma do ...,www.natal.rn.gov.br,https://www.natal.rn.gov.br/semut/noticia.php?id=58774,<b>natal</b>.rn.gov.br - Tributação,CARNÊS <b>2026</b>. Secretaria Municipal de Tributação de <b>Natal</b> lança serviço exclusivo de consulta e pagamentos on line de débitos de IPTU dentro da plataforma do&nbsp;...,https://www.<b>natal</b>.rn.gov.br/semut/noticia.php?id=58774,customsearch#result,,Prefeitura Municipal do Natal,Prefeitura Municipal do Natal,https://www.natal.rn.gov.br/img/logo_face.png,br,pt,natal 2026,1
google,6,SIFR 2026 – NATAL/RN » ASSOBRAFIR,https://assobrafir.com.br/12194-2/,"Onde estamos. Rua Alameda Santos nº 1165, Caixa Postal 121528, CEP 01419-002, São Paulo - SP. (11) 95082-5497 | Whatsapp ...",assobrafir.com.br,https://assobrafir.com.br/12194-2/,SIFR <b>2026</b> – <b>NATAL</b>/RN » ASSOBRAFIR,"Onde estamos. Rua Alameda Santos nº 1165, Caixa Postal 121528, CEP 01419-002, São Paulo - SP. (11) 95082-5497 | Whatsapp&nbsp;...",https://assobrafir.com.br/12194-2/,customsearch#result,,,,,br,pt,natal 2026,1
google,7,Natal Luz de Gramado – Site Oficial | Programação | Atrações ...,https://natalluzdegramado.com.br/,"Celebre a magia que há 40 anos ilumina Gramado. De 23 de outubro de 2025 a 18 de janeiro de 2026. Em 2025, celebramos quatro décadas do Natal Luz, ...",natalluzdegramado.com.br,https://natalluzdegramado.com.br/,<b>Natal</b> Luz de Gramado – Site Oficial | Programação | Atrações ...,"Celebre a magia que há 40 anos ilumina Gramado. De 23 de outubro de 2025 a 18 de janeiro de <b>2026</b>. Em 2025, celebramos quatro décadas do <b>Natal</b> Luz,&nbsp;...",https://<b>natal</b>luzdegramado.com.br/,customsearch#result,,Home - Natal Luz de Gramado – Site Oficial | Programação | Atrações | Ingressos,Site oficial do Natal Luz de Gramado – Adquira agora seu ingresso e viva a magia que abraça a todos.,https://natalluzdegramado.com.br/wp-content/uploads/2025/08/317744.jpg,br,pt,natal 2026,1
google,8,ASSOBRAFIR define data e local do SIFR 2026 em Natal ...,https://assobrafir.com.br/assobrafir-define-data-e-local-do-sifr-2026-em-natal/,"17 de dez. de 2024 ... O SIFR 2026 promete ser especial por diversos motivos: 1. O retorno do evento ao Nordeste, valorizando a região; 2. Uma estreia marcante em ...",assobrafir.com.br,https://assobrafir.com.br/assobrafir-define-data-e-local-do-sifr-2026-em-nat...,ASSOBRAFIR define data e local do SIFR <b>2026</b> em <b>Natal</b> ...,"17 de dez. de 2024 <b>...</b> O SIFR <b>2026</b> promete ser especial por diversos motivos: 1. O retorno do evento ao Nordeste, valorizando a região; 2. Uma estreia marcante em&nbsp;...",https://assobrafir.com.br/assobrafir-define-data-e-local-do-sifr-<b>2026</b>-em-<b>nat</b>...,customsearch#result,,,,,br,pt,natal 2026,1
google,9,MEIA MARATONA DO SOL SICREDI 2026,https://www.ticketsports.com.br/e/meia-maratona-do-sol-sicredi-2026-73805,"SOBRE O EVENTO. A cidade de Natal-RN será novamente o palco da Meia Maratona do Sol Sicredi 2026, que acontecerá nos dias 19 e 20 de setembro, com largada e ...",www.ticketsports.com.br,https://www.ticketsports.com.br/e/meia-maratona-do-sol-sicredi-2026-73805,MEIA MARATONA DO SOL SICREDI <b>2026</b>,"SOBRE O EVENTO. A cidade de <b>Natal</b>-RN será novamente o palco da Meia Maratona do Sol Sicredi <b>2026</b>, que acontecerá nos dias 19 e 20 de setembro, com largada e&nbsp;...",https://www.ticketsports.com.br/e/meia-maratona-do-sol-sicredi-<b>2026</b>-73805,customsearch#result,,MEIA MARATONA DO SOL SICREDI 2026,Data:19/09/2026 Local:,https://cdn.ticketsports.com.br/ticketagora/images/OS8ESKAZG3T976CQHYVTXYQCJEDAIB1C13N70KBJD60MDOLEON.png,br,pt,natal 2026,1
google,10,Calendário de Dezembro de 2026: feriados e datas comemorativas ...,https://www.calendarr.com/brasil/calendario-dezembro-2026/,Selecione o evento: Natal; Ano Novo; Dia das Mães; Dia dos ...,www.calendarr.com,https://www.calendarr.com/brasil/calendario-dezembro-2026/,Calendário de Dezembro de <b>2026</b>: feriados e datas comemorativas ...,Selecione o evento: <b>Natal</b>; Ano Novo; Dia das Mães; Dia dos&nbsp;...,https://www.calendarr.com/brasil/calendario-dezembro-<b>2026</b>/,customsearch#result,,Calendário de Dezembro de 2026: feriados e datas comemorativas - Calendarr,"Calendário Dezembro 2026 com todas as Datas Comemorativas, Feriados Nacionais e Pontos Facultativos do Brasil.",https://s.calendarr.com/layout/frontoffice/img/og/BR_2026_16x9.png,br,pt,natal 2026,1
