rank,sugestao,categoria,relevancia,tipo,termo_original,regiao,cliente,fonte_suggest
1,natal 2026 decoração,a-z,650,QUERY,natal 2026,br,chrome,yt
2,natal 2026 funk,a-z,601,QUERY,natal 2026,br,chrome,yt
3,natal 2026 remix,a-z,600,QUERY,natal 2026,br,chrome,yt
4,natal 2026 dj,a-z,561,QUERY,natal 2026,br,chrome,yt
5,natal 2026 tetun,a-z,560,QUERY,natal 2026,br,chrome,yt
6,feliz natal 2026,a-z,559,QUERY,natal 2026,br,chrome,yt
7,musica natal 2026,a-z,558,QUERY,natal 2026,br,chrome,yt
8,tendencia natal 2026,a-z,557,QUERY,natal 2026,br,chrome,yt
9,filme natal 2026,a-z,556,QUERY,natal 2026,br,chrome,yt
10,playlist natal 2026,a-z,555,QUERY,natal 2026,br,chrome,yt
11,natal para 2026,a-z,554,QUERY,natal 2026,br,chrome,yt
12,set natal 2026,a-z,553,QUERY,natal 2026,br,chrome,yt
13,lagu natal 2026,a-z,552,QUERY,natal 2026,br,chrome,yt
14,musik natal 2026,a-z,551,QUERY,natal 2026,br,chrome,yt
15,dance natal 2026,a-z,550,QUERY,natal 2026,br,chrome,yt
