rank,title,link,video_id,channel,channel_id,published,description,views,likes,dislikes,comments,favorites,duration,definition,caption,tags,category_id,default_language,default_audio_language,live_broadcast_content,thumbnail_default,thumbnail_high,thumbnail_maxres,channel_custom_url,channel_description,regiao,idioma,termo,order
1,"I Put 1,000,000,000 Christmas Lights On A House (World Record)",https://www.youtube.com/watch?v=f0c7pSCoZqE,f0c7pSCoZqE,MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,2020-12-23T21:00:06Z,"Watch until the end to see how insane the houses look

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
--------------------------------------------------------------------",133298715,3003279,0,105844,0,PT11M22S,hd,true,,24,en,en,none,https://i.ytimg.com/vi/f0c7pSCoZqE/default.jpg,https://i.ytimg.com/vi/f0c7pSCoZqE/hqdefault.jpg,https://i.ytimg.com/vi/f0c7pSCoZqE/maxresdefault.jpg,,,br,pt,natal 2026,viewCount
2,A melhor Decoração de Natal 😂,https://www.youtube.com/watch?v=vypmtQ4NgHI,vypmtQ4NgHI,Documentando,UCmPukYsUskp0DJtg76-gmWg,2024-11-18T21:15:03Z,"#shorts 

🔥 NÃO ESQUECE DE SE INSCREVER: https://www.youtube.com/channel/UCmPukYsUskp0DJtg76-gmWg/join

👍 Curtiu o vídeo? Deixa seu like e comenta o que mais gostou!

Seja membro do canal e ganhe benefícios:
https://www.youtube.com/channel/UCmPukYsUskp0DJtg76-gmWg/join",37372682,961381,0,1665,0,PT18S,hd,false,,24,pt-BR,pt-BR,none,https://i.ytimg.com/vi/vypmtQ4NgHI/default.jpg,https://i.ytimg.com/vi/vypmtQ4NgHI/hqdefault.jpg,https://i.ytimg.com/vi/vypmtQ4NgHI/maxresdefault.jpg,,,br,pt,natal 2026,viewCount
3,Roupa Nova - Natal Todo Dia,https://www.youtube.com/watch?v=WFoez21EK9g,WFoez21EK9g,Roupa Nova,UCBqKyhXifNbdoaVY2Xpz_MA,2019-12-10T19:33:26Z,"Ouça Roupa Nova em todos os aplicativos de música: https://ONErpm.lnk.to/RoupaNova

Roupa Nova - Natal Todo Dia (letra)

Um clima de sonho se espalha no ar
Pessoas se olham com brilho no olhar
A gente já sente chegando o Natal

É tempo de amor, todo mundo é igual
Os velhos amigos irão se abraçar
Os desconhecidos irão se falar
E quem for criança vai olhar pro céu
Fazendo pedido pro velho Noel

Se a gente é capaz de espalhar alegria
Se a gente é capaz de toda essa magia
Eu tenho certeza que a gente podia
Fazer com que fosse Natal todo dia

Se a gente é capaz de espalhar alegria
Se a gente é capaz de toda essa magia
Eu tenho certeza que a gente podia
Fazer com que fosse Natal todo dia

Um jeito mais manso de ser e falar
Mais calma, mais tempo pra gente se dar
Me diz porque só no Natal é assim
Que bom se ele nunca tivesse mais fim

Que o Natal comece no seu coração
Que seja pra todos, sem ter distinção
Um gesto, um sorriso, um abraço, o que for
O melhor presente é sempre o amor

Ouça em todos os aplicativos de música: https://ONErpm.lnk.to/RoupaNova

Redes Sociais:
Instagram: https://www.instagram.com/roupanova
Facebook: https://www.facebook.com/roupanova

Contato para shows: (11) 3068-7700
Direção de Clipe: DIG-JAM 
Composição: Mauricio Gaetani",20783862,215755,0,6365,0,PT4M24S,hd,false,"#roupanova #nataltododia #natal #papainoel #feliznatal, Roupa Nova, música de natal, Natal 2019, Natal todo dia, Fim de ano, Final de ano, Reveillon 2019, família, jantar de natal, natal em família, ONErpm",10,pt-PT,pt,none,https://i.ytimg.com/vi/WFoez21EK9g/default.jpg,https://i.ytimg.com/vi/WFoez21EK9g/hqdefault.jpg,https://i.ytimg.com/vi/WFoez21EK9g/maxresdefault.jpg,,,br,pt,natal 2026,viewCount
4,Já salva esse post que o natal ta chegando 🎅🏼🎄Comenta o que você achou! 💬#musica #piano #natal,https://www.youtube.com/watch?v=8vo-X0gnbeM,8vo-X0gnbeM,Caio Vargas,UCuBvr39iuQUGNsBhCmFCuOg,2023-12-05T19:27:26Z,,17428600,580360,0,2867,0,PT20S,hd,false,,10,pt-PT,pt-PT,none,https://i.ytimg.com/vi/8vo-X0gnbeM/default.jpg,https://i.ytimg.com/vi/8vo-X0gnbeM/hqdefault.jpg,https://i.ytimg.com/vi/8vo-X0gnbeM/maxresdefault.jpg,,,br,pt,natal 2026,viewCount
5,25 Nonstop Natal Ceria Angel Kids - Lagu Natal Sekolah Minggu Terbaru 2025,https://www.youtube.com/watch?v=unlWeq1gw2I,unlWeq1gw2I,Sinar Musik Abadi PT,UCgeR5bKp_w9-w59fJG0YUrA,2019-12-05T07:18:12Z,"25 Nonstop Natal Ceria Angel Kids - Lagu Natal Sekolah Minggu Terbaru 2025
Subscribe Sinar Musik Abadi PT
https://www.youtube.com/c/SinarMusikA...

Album        : Natal Manis Ceria Anak Sekolah Minggu
Produser    : Erni MW Simanjuntak
Produksi     : PT. Sinar Musik Abadi

Lagu Natal Lainnya :
https://youtu.be/PI_1WncIRFM
https://youtu.be/MJytz2pU5ds
https://youtu.be/unlWeq1gw2I
https://youtu.be/UAO4C08dyU0
https://youtu.be/C0f_8PjhmgI
https://youtu.be/PFKbCOZ3QtI
https://youtu.be/gETGsBsS4Yk
https://youtu.be/wXmhFXwJtRE
https://youtu.be/xjTCK-M9SU4

PT Sinar Musik Abadi is a record label and artist management
based in Medan City, Indonesia. Our artists include Erick Sihotang, Suryanto Siregar, Artha Sister, Tioma Trio, Billy Simarmata, Ika Siringoringo, Mariana Sitanggang, Tioma Trio, Buena Trio, Mister Juntak, Tety Hutapea, Monicha Sihotang, Elekta Trio and many more. Subscribe to our channel for exclusive videos, including official videos and lyric videos!

Copyright © 2022 Sinar Musik Abadi. All rights reserved
#albumnatal #laguantal #lagunatal #angelkids",13720561,57409,0,0,0,PT41M29S,hd,false,"lagu natal, lagu natal anak-anak, lagu natal anak, lagu anak anak, lagu natal anak sekolah minggu, lagu anak sekolah minggu, lagu natal terbaru 2020, lagu sekolah minggu, lagu natal sekolah minggu, lagu natal anak anak, lagu rohani, lagu natal terbaru 2021, lagu anak-anak, lagu natal terbaru 2019, natal, lagu natal terbaru, lagu-lagu natal, lagu lagu natal, lagu natal anak sekolah minggu terbaru 2021, lagu natal anak2",10,id,id,none,https://i.ytimg.com/vi/unlWeq1gw2I/default.jpg,https://i.ytimg.com/vi/unlWeq1gw2I/hqdefault.jpg,https://i.ytimg.com/vi/unlWeq1gw2I/maxresdefault.jpg,,,br,pt,natal 2026,viewCount
6,"Ariana Grande, Mariah Carey, Justin Bieber, Christmas Songs   Christmas Songs Playlist 2026",https://www.youtube.com/watch?v=QLJSDPC9Wks,QLJSDPC9Wks,The Void Remains,UCxvQIAYdckmB2qAcbPju4zQ,2025-10-14T10:00:07Z,"Ariana Grande, Mariah Carey, Justin Bieber, Christmas Songs   Christmas Songs Playlist 2026
Ariana Grande, Mariah Carey, Justin Bieber, Christmas Songs   Christmas Songs Playlist 2026
Ariana Grande, Mariah Carey, Justin Bieber, Christmas Songs   Christmas Songs Playlist 2026",13156633,70582,0,3598,0,PT27M9S,hd,false,"all want for christmas is you, christmas songs, mariah carey all want for christmas, all want for christmas, merry christmas, mariah carey christmas, mariah carey, christmas, christmas song, last christmas, christmas music, always be my baby, Mariah carey hero, oh santa, holy night, we belong together, Jennifer Lopez, beyonce, Whitney Houston, pop music",22,en,en,none,https://i.ytimg.com/vi/QLJSDPC9Wks/default.jpg,https://i.ytimg.com/vi/QLJSDPC9Wks/hqdefault.jpg,https://i.ytimg.com/vi/QLJSDPC9Wks/maxresdefault.jpg,,,br,pt,natal 2026,viewCount
7,"No Natal tem que estar bonita, né? 😅 Bora entrar pra trend também! 🎄🎅🏼 #Publi #DoorToTheHolidays",https://www.youtube.com/watch?v=F3s2qkhQlcA,F3s2qkhQlcA,Vitor Orth,UCW547FXuFqwlti13W05f54A,2023-12-08T22:18:56Z,,11365575,505638,0,2213,0,PT16S,hd,false,,23,pt,pt,none,https://i.ytimg.com/vi/F3s2qkhQlcA/default.jpg,https://i.ytimg.com/vi/F3s2qkhQlcA/hqdefault.jpg,https://i.ytimg.com/vi/F3s2qkhQlcA/maxresdefault.jpg,,,br,pt,natal 2026,viewCount
8,MÚSICA DE NATAL DE CADA PAÍS 😂 #shorts,https://www.youtube.com/watch?v=037Cu93QaMg,037Cu93QaMg,LuCr4zy,UCgxo9qPbDjEBTqlNRl8zRDg,2024-12-24T14:03:25Z,,10523708,0,0,2430,0,PT35S,hd,false,,24,pt-PT,pt,none,https://i.ytimg.com/vi/037Cu93QaMg/default.jpg,https://i.ytimg.com/vi/037Cu93QaMg/hqdefault.jpg,https://i.ytimg.com/vi/037Cu93QaMg/maxresdefault.jpg,,,br,pt,natal 2026,viewCount
9,Marcas Do Que Se Foi | Projeto de Natal (INOVA HO HO HO),https://www.youtube.com/watch?v=k2jawv-3UoI,k2jawv-3UoI,pagodepontocom,UCW4Wp5hJIt4q6pRw7grOaQw,2013-11-22T17:02:10Z,"Thiaguinho, Péricles, Rodriguinho, Mr. Dan, Lucas Morato e os grupos Sambô e Jeito Moleque gravam clássicos natalinos em ritmo de samba e pagode.

MARCAS DO QUE SE FOI

Este ano quero paz no meu coração
quem quiser ter um amigo
que me dê a mão

O tempo passa
e com ele caminhamos todos juntos
sem parar
nossos passos pelo chão
vão ficar

marcas do que se foi
sonhos que vamos ter
como todo dia nasce 
novo em cada amanhecer

marcas do que se foi
sonhos que vamos ter
como todo dia nasce
novo em cada amanhecer",8874051,67726,0,2726,0,PT3M22S,hd,false,"natal, musicas de natal, boas festas, musicas natalinas, ano novo, musicas final de ano, Thiaguinho, tardezinha, sorriso maroto, turma do pagode, pixote, rodriguinho, raça negra, jorge aragão, arlindo cruz, mumuzinho, dilsinho, ferrugem, xande de pilares, revelação",10,pt-PT,pt-PT,none,https://i.ytimg.com/vi/k2jawv-3UoI/default.jpg,https://i.ytimg.com/vi/k2jawv-3UoI/hqdefault.jpg,https://i.ytimg.com/vi/k2jawv-3UoI/maxresdefault.jpg,,,br,pt,natal 2026,viewCount
10,Lagu Natal Terbaru 2025/2026 Paling Syahdu,https://www.youtube.com/watch?v=1PfvwiyLYAA,1PfvwiyLYAA,Debbie Great,UC9mA4lRcbhkteuor_XLOmaw,2018-11-23T02:42:22Z,"15 Lagu natal terbaru 2025/2026 paling syahdu dan terpopuler sepanjang masa.

Cek koleksi Lagu Natal Terbaru lainnya:

https://youtu.be/PG6HEXxuZ_E

Selamat menyambut #Natal 2025, semoga Damai Suka Cita Natal bersama kita, Tuhan berkati. 
jangan lupa like share dan subscribe ya :)

#natal #lagunatalterbaru2025 #lagunatalterbaru2025 #lagunatal2026

Selamat menjelang Natal 🎄 🎅 ⭐🎄 🎅 ⭐

God Bless.",7905092,40742,0,2202,0,PT1H7M31S,hd,false,"lagu natal, lagu natal terbaru, lagu natal populer, lagu natal syahdu, lagu natal menyentuh hati, lagu natal terbaru 2024, lagu natal terbaru 2025, lagu natal 2025",10,id,id,none,https://i.ytimg.com/vi/1PfvwiyLYAA/default.jpg,https://i.ytimg.com/vi/1PfvwiyLYAA/hqdefault.jpg,https://i.ytimg.com/vi/1PfvwiyLYAA/maxresdefault.jpg,,,br,pt,natal 2026,viewCount
