rank,nome,url,descricao,estrelas,watchers,forks,linguagem,criado,atualizado,pushed_at,tamanho,licenca,licenca_spdx,topics,open_issues,default_branch,archived,disabled,private,fork,owner,owner_type,owner_url,owner_avatar,has_issues,has_projects,has_wiki,has_pages,has_downloads,allow_forking,is_template,web_commit_signoff_required,visibility,forks_url,clone_url,homepage,termo
1,EnzeD/vibe-coding,https://github.com/EnzeD/vibe-coding,,2414,2414,286,,2025-03-12T21:05:20Z,2025-12-11T14:39:25Z,2025-10-07T04:49:01Z,25,,,,0,main,False,False,False,False,EnzeD,User,https://github.com/EnzeD,https://avatars.githubusercontent.com/u/9866900?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/EnzeD/vibe-coding/forks,https://github.com/EnzeD/vibe-coding.git,,vibe cod
2,filipecalegario/awesome-vibe-coding,https://github.com/filipecalegario/awesome-vibe-coding,"A curated list of vibe coding references, collaborating with AI to write code.",1753,1753,203,,2025-03-13T17:46:56Z,2025-12-12T03:45:36Z,2025-12-08T12:02:01Z,163,,,"ai-agent, ai-agents, ai-coding-assistant, ai-coding-tools, awesome, awesome-list, cursor, lovable, vibe-coding",21,main,False,False,False,False,filipecalegario,User,https://github.com/filipecalegario,https://avatars.githubusercontent.com/u/299057?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/filipecalegario/awesome-vibe-coding/forks,https://github.com/filipecalegario/awesome-vibe-coding.git,,vibe cod
3,liyupi/yu-ai-code-mother,https://github.com/liyupi/yu-ai-code-mother,编程导航 2025 年 AI + 微服务全栈新项目，基于 Spring Boot 3 + LangChain4j 构建对标大厂的 AI 应用生成平台，支持多种模式的智能代码生成、可视化编辑预览、一键部署分享、应用管理、AI 智能路由等。覆盖 AI 智能体开发、LangGraph4j 工作流、Tool Calling、SSE、Vue 3 全栈开发、Spring Cloud 微服务架构、MySQL / Redis / COS / Caffeine 存储、Nginx、多种设计模式、ARMS + Prometheus + Grafana 监控、Cursor Vibe Coding 等核心技术。 用一套教程掌握大厂级 AI 智能体开发+前后端核心技术，成为 AI 时代企业的香饽饽，给你的简历增加竞争力,1120,1120,230,Java,2025-07-24T04:14:10Z,2025-12-11T11:30:48Z,2025-08-26T15:30:04Z,527,,,"ai, backend, deepseek, frontend, java, langchain4j, langgraph4j, mysql, nginx, project, redis, springboot, springcloud, vue",0,master,False,False,False,False,liyupi,User,https://github.com/liyupi,https://avatars.githubusercontent.com/u/26037703?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/liyupi/yu-ai-code-mother/forks,https://github.com/liyupi/yu-ai-code-mother.git,https://www.codefather.cn,vibe cod
4,KhazP/vibe-coding-prompt-template,https://github.com/KhazP/vibe-coding-prompt-template,"Templates and workflow for generating PRDs, Tech Designs, and MVP code using LLMs and AI IDEs",872,872,140,,2025-04-14T17:27:16Z,2025-12-11T21:57:27Z,2025-11-27T17:44:51Z,245,MIT License,MIT,"ai-agents, ai-coding-assistant, ai-workflow, beginner-friendly, development-workflows, low-code, mvp-development, no-code, product-requirement-document, prompt-enginering, technical-design, vibe-coding",0,main,False,False,False,False,KhazP,User,https://github.com/KhazP,https://avatars.githubusercontent.com/u/108902852?v=4,True,False,True,False,True,True,True,False,public,https://api.github.com/repos/KhazP/vibe-coding-prompt-template/forks,https://github.com/KhazP/vibe-coding-prompt-template.git,,vibe cod
5,feiskyer/claude-code-settings,https://github.com/feiskyer/claude-code-settings,"Claude Code settings, commands and agents for vibe coding",837,837,145,Shell,2025-07-18T06:22:12Z,2025-12-11T23:47:22Z,2025-12-03T13:15:58Z,200,MIT License,MIT,"agentic-ai, agents, ai, claude-code, claude-skills, codex, copilot, kiro, litellm, spec-driven-development, vibe-coding",1,main,False,False,False,False,feiskyer,User,https://github.com/feiskyer,https://avatars.githubusercontent.com/u/676637?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/feiskyer/claude-code-settings/forks,https://github.com/feiskyer/claude-code-settings.git,https://feisky.xyz/claude-code-settings/,vibe cod
6,lidangzzz/AI-Coding-Style-Guides,https://github.com/lidangzzz/AI-Coding-Style-Guides,A set of coding style guidelines for Vibe Coding or SWE-Agents that maximize efficiency and improve human readability.,440,440,47,JavaScript,2025-07-06T09:34:05Z,2025-12-11T21:38:18Z,2025-09-15T09:04:58Z,83,Apache License 2.0,Apache-2.0,,1,main,False,False,False,False,lidangzzz,User,https://github.com/lidangzzz,https://avatars.githubusercontent.com/u/6800565?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/lidangzzz/AI-Coding-Style-Guides/forks,https://github.com/lidangzzz/AI-Coding-Style-Guides.git,,vibe cod
7,blinks32/Vibe-Coded-Taxi-booking-uber-clone-with-ionic-8-capacitor-6-angular-18,https://github.com/blinks32/Vibe-Coded-Taxi-booking-uber-clone-with-ionic-8-capacitor-6-angular-18,"This is a complete ride booking app, It uses google maps capacitor plugin, firebase firestore database.",347,347,313,JavaScript,2017-10-05T13:50:51Z,2025-12-04T09:41:22Z,2025-06-08T08:55:52Z,154509,,,"android, angular, angular4, capacitor, capacitorjs, cordova, firebase, google-maps-android, ionic3, ionic5, ios, nexmo-api, nodejs, onesignal, paystack, scss, stripe-api, typescript",74,master,False,False,False,False,blinks32,User,https://github.com/blinks32,https://avatars.githubusercontent.com/u/7928001?v=4,True,True,True,False,True,True,True,False,public,https://api.github.com/repos/blinks32/Vibe-Coded-Taxi-booking-uber-clone-with-ionic-8-capacitor-6-angular-18/forks,https://github.com/blinks32/Vibe-Coded-Taxi-booking-uber-clone-with-ionic-8-capacitor-6-angular-18.git,,vibe cod
8,ai-for-developers/awesome-vibe-coding,https://github.com/ai-for-developers/awesome-vibe-coding,A hand-picked collection of tools and resources for Vibe Coding,328,328,45,,2023-08-28T16:37:06Z,2025-12-11T21:59:57Z,2025-12-09T07:51:21Z,8,,,"ai, ai-agents, ai-app-builder, ai-ide, ai-tools, awesome-ai, awesome-ai-tools, awesome-list, awesome-vibe-coding, vibe, vibe-coding, vibecode, vibecoding, vibecoding-tool",3,main,False,False,False,False,ai-for-developers,Organization,https://github.com/ai-for-developers,https://avatars.githubusercontent.com/u/221523293?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/ai-for-developers/awesome-vibe-coding/forks,https://github.com/ai-for-developers/awesome-vibe-coding.git,,vibe cod
9,RiyaParikh0112/vibe-coding-playbook,https://github.com/RiyaParikh0112/vibe-coding-playbook,,266,266,107,,2025-09-16T13:58:41Z,2025-12-08T07:48:37Z,2025-09-23T03:21:23Z,57,,,,0,main,False,False,False,False,RiyaParikh0112,User,https://github.com/RiyaParikh0112,https://avatars.githubusercontent.com/u/73838328?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/RiyaParikh0112/vibe-coding-playbook/forks,https://github.com/RiyaParikh0112/vibe-coding-playbook.git,,vibe cod
10,majidmanzarpour/vibe-coding-starter-pack-3d-multiplayer,https://github.com/majidmanzarpour/vibe-coding-starter-pack-3d-multiplayer,"A lightweight 3D web-based multiplayer starter kit using Three.js, React, and SpacetimeDB. Build interactive multiplayer experiences with real-time synchronization, character movement, and customizable game mechanics.",261,261,51,TypeScript,2025-04-09T03:04:14Z,2025-12-06T13:11:14Z,2025-04-09T04:57:27Z,6071,MIT License,MIT,,0,main,False,False,False,False,majidmanzarpour,User,https://github.com/majidmanzarpour,https://avatars.githubusercontent.com/u/13189110?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/majidmanzarpour/vibe-coding-starter-pack-3d-multiplayer/forks,https://github.com/majidmanzarpour/vibe-coding-starter-pack-3d-multiplayer.git,,vibe cod
